iter	Passed	Remaining
947	1892	103
948	1894	101
949	1896	99
950	1897	97
951	1898	95
952	1900	93
953	1901	91
954	1902	89
955	1904	87
956	1905	85
957	1909	83
958	1911	81
959	1912	79
960	1914	77
961	1915	75
962	1917	73
963	1918	71
964	1920	69
965	1922	67
966	1924	65
967	1925	63
968	1927	61
969	1928	59
970	1930	57
971	1931	55
972	1932	53
973	1934	51
974	1936	49
975	1938	47
976	1940	45
977	1941	43
978	1943	41
979	1944	39
980	1946	37
981	1948	35
982	1949	33
983	1951	31
984	1954	29
985	1955	27
986	1956	25
987	1958	23
988	1960	21
989	1961	19
990	1963	17
991	1964	15
992	1966	13
993	1968	11
994	1970	9
995	1972	7
996	1973	5
997	1975	3
998	1977	1
999	1978	0
